Sr. No.,Broker,Price,Size,Details
1,Indramani Pandey,"₹19,991","1 BHK Flat for rent in Unique Greens, Thane West, Thane","Cosmos 27 GBR kasaravadali ghodbundar road thane west More About This Property This is a modern and stylish home available for affordable rent in Thane. It is a 1 BHK Apartment situated at Thane West. Designed to meet your lifestyle needs, the Apartment provides a range of modern amenities for the comfort of the residents. It is Fully Furnished. Modern home seekers will experience a comfortable living in th..."
2,Indramani Pandey,"₹12,965","1 BHK Flat for rent in Abrol Krishna Green Land Park, Kasarvadavali, Thane West, Thane","Abrol Krishna Green Land Park kasaravadali ghodbundar road thane west More About This Property Check this beautiful 1 BHK Apartment available for rent in Thane. Nestled at a prime location in Thane West, it is an ideal home for those looking for a modern lifestyle. The Apartment is Semi Furnished, available for affordable rent. This 1 BHK unit is inside a gated society equipped with various amenities and am..."
3,Saumya Properties,"₹13,500","1 BHK Flat for rent in Kavya Residency, Anand Nagar, Kasarvadavali, Thane West, Thane","Kavya Residency aanand nagar ghodbundar road Thane West More About This Property A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Thane. It is a 1 BHK Apartment situated in Thane West at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age conven..."
4,Pranesh Properties,"₹22,300","1 BHK Flat for rent in Hiranandani Estate, Thane","Here is an excellent 1 BHK Apartment available for rent in Thane. Surrounded by natural greens and equipped with numerous amenities, this rented 1 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Thane West that enjoys good connectivity to major landmarks of the city. The Apartment is on the 15 floor. There is a total of 36 floors. The Apartment is designed as per ..."
5,Azuro.in,"₹38,000","2 BHK Flat for rent in Ashar Edge, Gawand Baug, Thane West, Thane","Our Service Fees is only Rs. 10,000 + GST for an apartment in Thane.Professional Property Management. Multiple direct options available. 2bhk apartment available for rent at Ashar Edge,Pokhran Rd 2 with the budget of 38000 More About This Property If you are looking for a modern house on rent in Thane, this Apartment in Thane West can be your perfect home. It is a 2 BHK Apartment designed to meet your space..."
6,SHREE SIDDHIVINAYAK REALTORS,"₹42,000","3 BHK Flat for rent in Neelkanth Palms, Kapur Bawdi, Thane West, Thane","A 3bhk property available for rent in neelkanth palm. More About This Property A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Thane. It is a 3 BHK Apartment situated in Thane West at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age convenie..."
7,Sachin Desale,"₹61,000","3 BHK Flat for rent in auralis new complex , Louis Wadi, Thane West, Thane","3 bhk 1260 sqft carpet with kitchen light ,fan unused flat posh new complex prime location teen hath naka thane west call me more details  More About This Property Your search for a spacious home at affordable rent in Thane ends here. This 6 BHK Apartment in Thane West is all that you have been looking for! Designed as West facing, the unit is compliant with Vastu principles. The 6 BHK property offers a ser..."
8,Property Square,"₹26,000","2 BHK Flat for rent in hiranandani estate madison thane west, Hiranandani Estate, Thane","If you are looking for a modern house on rent in Thane, this Apartment in Thane West can be your perfect home. It is a 4 BHK Apartment designed to meet your space and lifestyle needs. The 4 BHK unit is Unfurnished. This rented 4 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 6 out of a total 7 floors . The Apartment has 4 be..."
9,Azuro,"₹30,000","2 BHK Flat for rent in Dosti West County, Kolshet Industrial Area, Thane West, Thane","Our Service Fees is only Rs. 10,000 + GST for an apartment in Thane.Professional Property Management. Multiple direct options available. 2bhk apartment available for rent at Dosti West County,Balkum with the budget of 30000. More About This Property If you are looking for a modern house on rent in Thane, this Apartment in Thane West can be your perfect home. It is a 2 BHK Apartment designed to meet your spa..."
10,Rajesh Rasale,"₹40,000","2 BHK Flat for rent in Panch Pakhadi, Thane West, Thane","Availble 2 bhk flat on rent at panch pakhadi thane west. 1 car parking is open. Higher Floor. 2 lift. If you want more details please call me. More About This Property This is a modern and stylish home available for affordable rent in Thane. It is a 2 BHK Apartment situated at Thane West. Designed to meet your lifestyle needs, the Apartment provides a range of modern amenities for the comfort of the residen..."
11,Search Home Property,"₹19,000","1 BHK Flat for rent in Terraform Everest Countryside - Iris, Kasarvadavali, Thane West, Thane",Your search for a spacious home at affordable rent in Thane ends here. The 1 BHK property offers a serene environment with excellent views of the city. This Apartment is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is Fully Furnished Apartment. This unit is built on floor 14 out of a total 18 floors. The Apartment has been thoughtfully designed to meet a family’s...
12,Rahul Patil,"₹24,000","1 BHK Flat for rent in Hiranandani The Walk, Hiranandani Estate, Thane","Check out this Apartment available for rent in Thane West in Thane. It is a 1 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is Semi Furnished. It is an North-West facing property that has been constructed as per Vastu principles. With numerous new-age amenities and green surroundings, this Apartment provides a convenient lifestyl..."
13,Mr. Dhananjay Shetty,"₹12,100","2 BHK Flat for rent in casa cielo lakeshore green palava phase 2 dombivali east , Antarli, Thane","A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Thane. It is a 4 BHK Apartment situated in Antarli at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is Unfurnished. The 4 BHK property has ..."
14,Palava Properties,"₹8,000","1 BHK Flat for rent in Palava Lakeshore green khoni Palava phase 2, Antarli, Thane",This is a well-designed 2 BHK Apartment available for rent. It is situated in a prime location of Thane at Palava Phase 2 Khoni. This modern Apartment is Semi Furnished. The 2 BHK unit fulfills all the needs of a modern lifestyle for families. There is a total of 19 floors. This unit is on 6 floor. The Apartment provides complete comfort for the residents. The Apartment lets you enjoy the lush greenery arou...
15,RANA ENTERPRISES,"₹9,300","2 BHK Flat for rent in Palava Lakeshore Greens, Palava Phase 2, Beyond Thane, Thane","This Apartment is constructed within Lodha Lakeshore Greens. The developer also provides other units of 2 BHK configuration. Many amenities have been provided for the residents of this Apartment. The amenities include Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. There is also provision for power backup facility. There is a modern lift facility. The availability of cctv f..."
16,Nilesh,"₹16,000","3 BHK Flat for rent in River Scape, Palava Phase 1, Palava Phase 1 Usarghar Gaon, Thane","If you are looking for a modern house on rent in Thane, this Apartment in Nilje Gaon can be your perfect home. It is a 6 BHK Apartment designed to meet your space and lifestyle needs. The 6 BHK unit is Unfurnished. This rented 6 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 10 out of a total 19 floors . The Apartment has 6 ..."
17,Nilesh,"₹23,000","1 BHK Flat for rent in Hiranandani Estate, Thane","Club House CCTV Cascade Garden Zen Pavilion Leisure Deck Garden Court Open Air Gym Gazebo LED Lights In The Common Areas Mechanized Car Parking Common DTH Dish Antenna FTTH Ready Low Voltage Structured Cabling System Inside Apartment Audio Intercom Using IP EPABX Video Call Supported Pool Enclave Tiered Green Decks Arrival Plaza Information Kiosk, Lake View Lawns Blessing Under The Tree, Foot Reflexology En..."
18,Rachit Jhunjhunwala,"₹71,000","3 BHK Flat for rent in Hiranandani Tribeca, Hiranandani Estate, Thane","It’s a 3bhk spacious flat available for rent in hiranandani estate semi furnished apartment  More About This Property Your search for a spacious home at affordable rent in Thane ends here. This 3 BHK Apartment in Thane West is all that you have been looking for! Designed as North facing, the unit is compliant with Vastu principles. The 3 BHK property offers a serene environment with excellent views of the c..."
19,Swagat Properties,"₹35,000","2 BHK Flat for rent in Ghodbunder road, Thane West, Thane","This is very nice unfurnished flat in,Thane.Complex is having all luxuries amenities swimming pool,Club house ,Gym and etc. Just out side the comlex you will get share auto, Bus,Complex is having his own bus facility towards thane station at minimum rate.This location is mid point of thane from here you will get easy access to airoli,Bhiwandi,Thane station and mumbai. All big schools like -Dav,Orchid,Goenka..."
20,Ritika,"₹20,000","1 BHK Flat for rent in Vihang Vermont, Bhayandarpada, Thane West, Thane","Your search for a spacious home at affordable rent in Thane ends here. This 1 BHK Apartment in Thane West is all that you have been looking for! Designed as North facing, the unit is compliant with Vastu principles. The 1 BHK property offers a serene environment with excellent views of the city. This Apartment is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is Un..."
